50	0.0145828
60	0.0115455
70	0.0138039
80	0.0086351
90	0.0067403
100	0.0098837
110	0.0062765
120	0.0067472
130	0.0432992
140	0.0427476
150	0.0473287
160	0.0421816
170	0.0412988
180	0.0443242
190	0.0423921
200	0.0391222
210	0.0447674
220	0.0410197
230	0.0448291
240	0.0428152
250	0.0507034
260	0.2615785
270	0.2701778
280	0.2444951
290	0.2462799
300	0.2360358
310	0.2374560
320	0.2363545
330	0.2443856
340	0.2309305
350	0.2536007
360	0.2375326
370	0.2385848
380	0.2430408
390	0.2443461
400	0.2613935
410	0.2540463
420	0.2450366
430	0.2513220
440	0.2474706
450	0.2521503
460	0.2351482
470	0.2538455
480	0.2393153
490	0.2547371
500	0.2739713
550	1.4677259
600	1.4800784
650	1.7362018
700	1.6290739
750	1.7954355
800	1.7284619
850	1.6511502
900	1.5229321
950	1.4862722
1000	1.7750712
1500	8.1366819
2000	7.6488635
